,Epsilon_255,Num_Iter,Accuracy_avg,Confidence_avg,Accuracy_min,Accuracy_max,Confidence_min,Confidence_max
0,0.0,0,0.981,0.8177617192268372,0.62,1.0,0.34927231073379517,0.9840023517608643
1,4.0,1,0.969,0.7778640389442444,0.38,1.0,0.3145235478878021,0.9760276675224304
2,10.0,1,0.9495,0.7099729776382446,0.0,1.0,0.2713358700275421,0.9572305679321289
3,20.0,1,0.8842,0.5826488137245178,0.0,1.0,0.22305649518966675,0.8979150652885437
4,30.0,1,0.7724,0.4580833911895752,0.0,1.0,0.18942956626415253,0.7958733439445496
5,40.0,1,0.608,0.36090999841690063,0.0,1.0,0.16637559235095978,0.6858962178230286
6,50.0,1,0.4008,0.30295220017433167,0.0,1.0,0.15332861244678497,0.630175769329071
7,60.0,1,0.2215,0.27598080039024353,0.0,1.0,0.14442108571529388,0.6230877637863159
8,90.0,2,0.1076,0.33790960907936096,0.0,1.0,0.15763446688652039,0.770905613899231
